Number of Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype
151,2007,9,EUTH,BEHAV OBSV
82,2007,9,EUTH,BREED
115,2007,9,EUTH,CONTAG DIS
42,2007,9,EUTH,FERAL
148,2007,9,EUTH,MEDICAL
39,2007,9,EUTH,REQUESTED
219,2007,9,EUTH,TIME/SPACE
19,2007,9,EUTH,TOO OLD
44,2007,9,EUTH,TOO YOUNG
1,2007,9,MISSING,
45,2007,9,RELEASED,
25,2007,9,RELEASED,IN SURGERY
102,2007,9,RTO,
4,2007,9,RTO,IN FIELD
77,2007,9,TRANSFER,
6,2007,9,TRANSFER,KHS
25,2007,9,TRANSFER,RESCUE GRP
1,2007,10,,
91,2007,10,ADOPTION,
4,2007,10,ADOPTION,FRIEND
1,2007,10,ADOPTION,PRV ADOPT
9,2007,10,ADOPTION,RADIO OTHR
1,2007,10,ADOPTION,TV WLKY
13,2007,10,ADOPTION,WALK IN
18,2007,10,ADOPTION,WEB PF
1,2007,10,DIED,
1,2007,10,DIED,IN FOSTER
10,2007,10,DIED,IN KENNEL
4,2007,10,DISPOSAL,
1,2007,10,ET PROCESS,BEHAV OBSV
1,2007,10,ET PROCESS,MEDICAL
8,2007,10,EUTH,
17,2007,10,EUTH,BEHAV HIST
148,2007,10,EUTH,BEHAV OBSV
91,2007,10,EUTH,BREED
159,2007,10,EUTH,CONTAG DIS
32,2007,10,EUTH,FERAL
135,2007,10,EUTH,MEDICAL
2,2007,10,EUTH,PREGNANT
86,2007,10,EUTH,REQUESTED
120,2007,10,EUTH,TIME/SPACE
21,2007,10,EUTH,TOO OLD
36,2007,10,EUTH,TOO YOUNG
9,2007,10,MISSING,
10,2007,10,MISSING,IN FOSTER
5,2007,10,MISSING,IN KENNEL
31,2007,10,RELEASED,
8,2007,10,RELEASED,IN SURGERY
122,2007,10,RTO,
10,2007,10,RTO,IN FIELD
4,2007,10,TRANSFER,
11,2007,10,TRANSFER,KHS
24,2007,10,TRANSFER,RESCUE GRP
97,2007,11,ADOPTION,
6,2007,11,ADOPTION,FRIEND
5,2007,11,ADOPTION,RADIO OTHR
3,2007,11,ADOPTION,REFERRAL
14,2007,11,ADOPTION,WALK IN
1,2007,11,ADOPTION,WEB METRO
12,2007,11,ADOPTION,WEB PF
6,2007,11,DIED,
3,2007,11,DIED,ENROUTE
8,2007,11,DIED,IN KENNEL
1,2007,11,DISPOSAL,DEAD ARRIV
1,2007,11,ET PROCESS,BEHAV HIST
1,2007,11,ET PROCESS,BEHAV OBSV
1,2007,11,ET PROCESS,MEDICAL
7,2007,11,EUTH,
26,2007,11,EUTH,BEHAV HIST
174,2007,11,EUTH,BEHAV OBSV
44,2007,11,EUTH,BREED
82,2007,11,EUTH,CONTAG DIS
1,2007,11,EUTH,FELV
11,2007,11,EUTH,FERAL
135,2007,11,EUTH,MEDICAL
2,2007,11,EUTH,PREGNANT
47,2007,11,EUTH,REQUESTED
205,2007,11,EUTH,TIME/SPACE
24,2007,11,EUTH,TOO OLD
24,2007,11,EUTH,TOO YOUNG
3,2007,11,MISSING,
1,2007,11,MISSING,IN KENNEL
1,2007,11,NO SHOW,
72,2007,11,RELEASED,
6,2007,11,RELEASED,IN SURGERY
1,2007,11,RELEASED,MEDICAL
144,2007,11,RTO,
8,2007,11,RTO,IN FIELD
21,2007,11,TRANSFER,
3,2007,11,TRANSFER,KHS
34,2007,11,TRANSFER,RESCUE GRP
81,2007,12,ADOPTION,
7,2007,12,ADOPTION,FRIEND
36,2007,12,ADOPTION,PROMO
1,2007,12,ADOPTION,RADIO WHAS
1,2007,12,ADOPTION,REFERRAL
2,2007,12,ADOPTION,TV OTHER
2,2007,12,ADOPTION,TV WHAS
48,2007,12,ADOPTION,WALK IN
3,2007,12,ADOPTION,WEB METRO
24,2007,12,ADOPTION,WEB PF
1,2007,12,DIED,
4,2007,12,DIED,ENROUTE
2,2007,12,DIED,IN FOSTER
7,2007,12,DIED,IN KENNEL
2,2007,12,DIED,IN SURGERY
1,2007,12,DISPOSAL,DEAD ARRIV
1,2007,12,ET PROCESS,BEHAV HIST
3,2007,12,ET PROCESS,BEHAV OBSV
1,2007,12,ET PROCESS,MEDICAL
3,2007,12,EUTH,
15,2007,12,EUTH,BEHAV HIST
137,2007,12,EUTH,BEHAV OBSV
41,2007,12,EUTH,BREED
70,2007,12,EUTH,CONTAG DIS
14,2007,12,EUTH,FERAL
104,2007,12,EUTH,MEDICAL
60,2007,12,EUTH,REQUESTED
103,2007,12,EUTH,TIME/SPACE
24,2007,12,EUTH,TOO OLD
3,2007,12,EUTH,TOO YOUNG
3,2007,12,MISSING,
1,2007,12,MISSING,IN KENNEL
46,2007,12,RELEASED,
3,2007,12,RELEASED,IN SURGERY
119,2007,12,RTO,
6,2007,12,RTO,IN FIELD
4,2007,12,TRANSFER,
9,2007,12,TRANSFER,KHS
19,2007,12,TRANSFER,RESCUE GRP
47,2008,1,ADOPTION,
10,2008,1,ADOPTION,FRIEND
38,2008,1,ADOPTION,PROMO
1,2008,1,ADOPTION,RADIO OTHR
4,2008,1,ADOPTION,REFERRAL
1,2008,1,ADOPTION,TV METRO
1,2008,1,ADOPTION,TV WHAS
63,2008,1,ADOPTION,WALK IN
13,2008,1,ADOPTION,WEB PF
2,2008,1,DIED,
4,2008,1,DIED,ENROUTE
7,2008,1,DIED,IN KENNEL
1,2008,1,DIED,IN SURGERY
7,2008,1,EUTH,
24,2008,1,EUTH,BEHAV HIST
141,2008,1,EUTH,BEHAV OBSV
60,2008,1,EUTH,BREED
72,2008,1,EUTH,CONTAG DIS
5,2008,1,EUTH,FERAL
75,2008,1,EUTH,MEDICAL
38,2008,1,EUTH,REQUESTED
96,2008,1,EUTH,TIME/SPACE
25,2008,1,EUTH,TOO OLD
2,2008,1,MISSING,IN KENNEL
53,2008,1,RELEASED,
9,2008,1,RELEASED,IN SURGERY
1,2008,1,RELEASED,MEDICAL
80,2008,1,RTO,
7,2008,1,RTO,IN FIELD
1,2008,1,TRANSFER,
5,2008,1,TRANSFER,KHS
31,2008,1,TRANSFER,RESCUE GRP
3,2008,1,TRANSFER,WILDLIFE
47,2008,2,ADOPTION,
31,2008,2,ADOPTION,FRIEND
10,2008,2,ADOPTION,PROMO
1,2008,2,ADOPTION,PRV ADOPT
1,2008,2,ADOPTION,RADIO MAX
1,2008,2,ADOPTION,RADIO OTHR
1,2008,2,ADOPTION,REFERRAL
1,2008,2,ADOPTION,TV METRO
7,2008,2,ADOPTION,TV OTHER
2,2008,2,ADOPTION,TV WHAS
59,2008,2,ADOPTION,WALK IN
17,2008,2,ADOPTION,WEB METRO
29,2008,2,ADOPTION,WEB PF
3,2008,2,DIED,
2,2008,2,DIED,ENROUTE
2,2008,2,DIED,IN KENNEL
1,2008,2,DISPOSAL,DEAD ARRIV
6,2008,2,EUTH,
13,2008,2,EUTH,BEHAV HIST
129,2008,2,EUTH,BEHAV OBSV
71,2008,2,EUTH,BREED
49,2008,2,EUTH,CONTAG DIS
5,2008,2,EUTH,FERAL
70,2008,2,EUTH,MEDICAL
35,2008,2,EUTH,REQUESTED
94,2008,2,EUTH,TIME/SPACE
17,2008,2,EUTH,TOO OLD
1,2008,2,MISSING,
47,2008,2,RELEASED,
1,2008,2,RELEASED,IN SURGERY
92,2008,2,RTO,
9,2008,2,RTO,IN FIELD
7,2008,2,TRANSFER,
24,2008,2,TRANSFER,KHS
14,2008,2,TRANSFER,RESCUE GRP
7,2008,3,ADOPTION,
22,2008,3,ADOPTION,FRIEND
4,2008,3,ADOPTION,PROMO
1,2008,3,ADOPTION,PRV ADOPT
2,2008,3,ADOPTION,RADIO OTHR
5,2008,3,ADOPTION,REFERRAL
1,2008,3,ADOPTION,TV OTHER
60,2008,3,ADOPTION,WALK IN
10,2008,3,ADOPTION,WEB METRO
38,2008,3,ADOPTION,WEB PF
1,2008,3,ADOPTION,WEB PH
2,2008,3,DIED,
3,2008,3,DIED,ENROUTE
1,2008,3,DIED,IN FOSTER
9,2008,3,DIED,IN KENNEL
1,2008,3,DIED,IN SURGERY
12,2008,3,EUTH,
13,2008,3,EUTH,BEHAV HIST
151,2008,3,EUTH,BEHAV OBSV
34,2008,3,EUTH,BREED
78,2008,3,EUTH,CONTAG DIS
5,2008,3,EUTH,FERAL
82,2008,3,EUTH,MEDICAL
2,2008,3,EUTH,PREGNANT
54,2008,3,EUTH,REQUESTED
71,2008,3,EUTH,TIME/SPACE
16,2008,3,EUTH,TOO OLD
11,2008,3,EUTH,TOO YOUNG
1,2008,3,MISSING,
110,2008,3,RELEASED,
2,2008,3,RELEASED,IN SURGERY
101,2008,3,RTO,
5,2008,3,RTO,IN FIELD
2,2008,3,TRANSFER,CADIES CAB
21,2008,3,TRANSFER,KHS
76,2008,3,TRANSFER,RESCUE GRP
1,2008,3,TRANSFER,WILDLIFE
4,2008,4,ADOPTION,
25,2008,4,ADOPTION,FRIEND
26,2008,4,ADOPTION,PROMO
8,2008,4,ADOPTION,PRV ADOPT
7,2008,4,ADOPTION,REFERRAL
2,2008,4,ADOPTION,TV OTHER
1,2008,4,ADOPTION,TV WHAS
64,2008,4,ADOPTION,WALK IN
17,2008,4,ADOPTION,WEB METRO
43,2008,4,ADOPTION,WEB PF
1,2008,4,ADOPTION,WEB PH
3,2008,4,DIED,
1,2008,4,DIED,AT VET
2,2008,4,DIED,ENROUTE
3,2008,4,DIED,IN FOSTER
4,2008,4,DIED,IN KENNEL
2,2008,4,DIED,IN SURGERY
12,2008,4,EUTH,
20,2008,4,EUTH,BEHAV HIST
147,2008,4,EUTH,BEHAV OBSV
45,2008,4,EUTH,BREED
70,2008,4,EUTH,CONTAG DIS
9,2008,4,EUTH,FERAL
64,2008,4,EUTH,MEDICAL
44,2008,4,EUTH,REQUESTED
103,2008,4,EUTH,TIME/SPACE
24,2008,4,EUTH,TOO OLD
51,2008,4,EUTH,TOO YOUNG
1,2008,4,MISSING,IN KENNEL
73,2008,4,RELEASED,
1,2008,4,RELEASED,MEDICAL
106,2008,4,RTO,
11,2008,4,RTO,IN FIELD
15,2008,4,TRANSFER,
2,2008,4,TRANSFER,CADIES CAB
13,2008,4,TRANSFER,KHS
67,2008,4,TRANSFER,RESCUE GRP
1,2008,4,TRANSFER,WILDLIFE
6,2008,5,ADOPTION,
19,2008,5,ADOPTION,FRIEND
25,2008,5,ADOPTION,PROMO
3,2008,5,ADOPTION,PRV ADOPT
8,2008,5,ADOPTION,REFERRAL
1,2008,5,ADOPTION,TV WLKY
83,2008,5,ADOPTION,WALK IN
10,2008,5,ADOPTION,WEB METRO
19,2008,5,ADOPTION,WEB PF
7,2008,5,DIED,
3,2008,5,DIED,ENROUTE
16,2008,5,DIED,IN FOSTER
7,2008,5,DIED,IN KENNEL
1,2008,5,DISPOSAL,
17,2008,5,EUTH,
26,2008,5,EUTH,BEHAV HIST
178,2008,5,EUTH,BEHAV OBSV
26,2008,5,EUTH,BREED
83,2008,5,EUTH,CONTAG DIS
5,2008,5,EUTH,FERAL
106,2008,5,EUTH,MEDICAL
51,2008,5,EUTH,REQUESTED
99,2008,5,EUTH,TIME/SPACE
38,2008,5,EUTH,TOO OLD
62,2008,5,EUTH,TOO YOUNG
3,2008,5,MISSING,IN KENNEL
70,2008,5,RELEASED,
3,2008,5,RELOCATE,
145,2008,5,RTO,
12,2008,5,RTO,IN FIELD
2,2008,5,TRANSFER,
16,2008,5,TRANSFER,KHS
230,2008,5,TRANSFER,RESCUE GRP
6,2008,6,ADOPTION,
19,2008,6,ADOPTION,FRIEND
26,2008,6,ADOPTION,PROMO
3,2008,6,ADOPTION,PRV ADOPT
1,2008,6,ADOPTION,RADIO OTHR
2,2008,6,ADOPTION,REFERRAL
1,2008,6,ADOPTION,TV METRO
2,2008,6,ADOPTION,TV OTHER
66,2008,6,ADOPTION,WALK IN
10,2008,6,ADOPTION,WEB METRO
35,2008,6,ADOPTION,WEB PF
5,2008,6,DIED,
5,2008,6,DIED,ENROUTE
15,2008,6,DIED,IN FOSTER
11,2008,6,DIED,IN KENNEL
1,2008,6,DIED,IN SURGERY
32,2008,6,EUTH,
20,2008,6,EUTH,BEHAV HIST
154,2008,6,EUTH,BEHAV OBSV
65,2008,6,EUTH,BREED
130,2008,6,EUTH,CONTAG DIS
1,2008,6,EUTH,FELV
22,2008,6,EUTH,FERAL
112,2008,6,EUTH,MEDICAL
83,2008,6,EUTH,REQUESTED
185,2008,6,EUTH,TIME/SPACE
24,2008,6,EUTH,TOO OLD
124,2008,6,EUTH,TOO YOUNG
3,2008,6,MISSING,
4,2008,6,MISSING,IN KENNEL
1,2008,6,NO SHOW,
74,2008,6,RELEASED,
2,2008,6,RELEASED,IN SURGERY
3,2008,6,RELOCATE,
103,2008,6,RTO,
14,2008,6,RTO,IN FIELD
29,2008,6,TRANSFER,KHS
151,2008,6,TRANSFER,RESCUE GRP
1,2008,7,,
1,2008,7,ADOPTION,
8,2008,7,ADOPTION,FRIEND
30,2008,7,ADOPTION,PROMO
15,2008,7,ADOPTION,PRV ADOPT
2,2008,7,ADOPTION,RADIO MAX
8,2008,7,ADOPTION,REFERRAL
1,2008,7,ADOPTION,TV METRO
2,2008,7,ADOPTION,TV OTHER
65,2008,7,ADOPTION,WALK IN
11,2008,7,ADOPTION,WEB METRO
30,2008,7,ADOPTION,WEB PF
11,2008,7,DIED,
1,2008,7,DIED,ENROUTE
8,2008,7,DIED,IN FOSTER
6,2008,7,DIED,IN KENNEL
23,2008,7,EUTH,
21,2008,7,EUTH,BEHAV HIST
138,2008,7,EUTH,BEHAV OBSV
82,2008,7,EUTH,BREED
112,2008,7,EUTH,CONTAG DIS
36,2008,7,EUTH,FERAL
136,2008,7,EUTH,MEDICAL
46,2008,7,EUTH,REQUESTED
306,2008,7,EUTH,TIME/SPACE
32,2008,7,EUTH,TOO OLD
180,2008,7,EUTH,TOO YOUNG
4,2008,7,MISSING,
4,2008,7,MISSING,IN FOSTER
5,2008,7,MISSING,IN KENNEL
67,2008,7,RELEASED,
1,2008,7,RELEASED,IN SURGERY
145,2008,7,RTO,
8,2008,7,RTO,IN FIELD
1,2008,7,TRANSFER,
18,2008,7,TRANSFER,KHS
98,2008,7,TRANSFER,RESCUE GRP
5,2008,8,ADOPTION,
1,2008,8,ADOPTION,BARKSTOWN
14,2008,8,ADOPTION,FRIEND
79,2008,8,ADOPTION,PROMO
3,2008,8,ADOPTION,PRV ADOPT
1,2008,8,ADOPTION,RADIO WHAS
4,2008,8,ADOPTION,REFERRAL
3,2008,8,ADOPTION,TV OTHER
51,2008,8,ADOPTION,WALK IN
9,2008,8,ADOPTION,WEB METRO
5,2008,8,ADOPTION,WEB PF
5,2008,8,DIED,
1,2008,8,DIED,AT VET
4,2008,8,DIED,ENROUTE
8,2008,8,DIED,IN FOSTER
11,2008,8,DIED,IN KENNEL
37,2008,8,EUTH,
20,2008,8,EUTH,BEHAV HIST
174,2008,8,EUTH,BEHAV OBSV
42,2008,8,EUTH,BREED
135,2008,8,EUTH,CONTAG DIS
57,2008,8,EUTH,FERAL
144,2008,8,EUTH,MEDICAL
1,2008,8,EUTH,PREGNANT
66,2008,8,EUTH,REQUESTED
290,2008,8,EUTH,TIME/SPACE
13,2008,8,EUTH,TOO OLD
139,2008,8,EUTH,TOO YOUNG
3,2008,8,MISSING,IN KENNEL
1,2008,8,MISSING,STOLEN
70,2008,8,RELEASED,
1,2008,8,RELEASED,MEDICAL
1,2008,8,RELOCATE,
127,2008,8,RTO,
4,2008,8,RTO,IN FIELD
5,2008,8,TRANSFER,
17,2008,8,TRANSFER,KHS
9,2008,8,TRANSFER,RES WAGGIN
62,2008,8,TRANSFER,RESCUE GRP
1,2008,8,TRANSFER,WILDLIFE
9,2008,9,ADOPTION,
10,2008,9,ADOPTION,3RD PARTY
19,2008,9,ADOPTION,FRIEND
21,2008,9,ADOPTION,PROMO
7,2008,9,ADOPTION,PRV ADOPT
3,2008,9,ADOPTION,PS HURST
5,2008,9,ADOPTION,PS OUTER
7,2008,9,ADOPTION,PS WEST
1,2008,9,ADOPTION,TV METRO
4,2008,9,ADOPTION,TV OTHER
2,2008,9,ADOPTION,TV WHAS
45,2008,9,ADOPTION,WALK IN
14,2008,9,ADOPTION,WEB METRO
26,2008,9,ADOPTION,WEB PF
6,2008,9,DIED,
3,2008,9,DIED,ENROUTE
8,2008,9,DIED,IN FOSTER
11,2008,9,DIED,IN KENNEL
1,2008,9,DISPOSAL,DEAD ARRIV
12,2008,9,EUTH,
35,2008,9,EUTH,BEHAV HIST
170,2008,9,EUTH,BEHAV OBSV
49,2008,9,EUTH,BREED
141,2008,9,EUTH,CONTAG DIS
35,2008,9,EUTH,FERAL
120,2008,9,EUTH,MEDICAL
1,2008,9,EUTH,PREGNANT
52,2008,9,EUTH,REQUESTED
195,2008,9,EUTH,TIME/SPACE
32,2008,9,EUTH,TOO OLD
204,2008,9,EUTH,TOO YOUNG
1,2008,9,MISSING,
1,2008,9,MISSING,ENROUTE
4,2008,9,MISSING,IN KENNEL
55,2008,9,RELEASED,
4,2008,9,RELOCATE,
121,2008,9,RTO,
8,2008,9,RTO,IN FIELD
2,2008,9,TRANSFER,
8,2008,9,TRANSFER,KHS
1,2008,9,TRANSFER,RES WAGGIN
44,2008,9,TRANSFER,RESCUE GRP
10,2008,9,TRANSFER,WILDLIFE
3,2008,10,ADOPTION,3RD PARTY
1,2008,10,ADOPTION,BARKSTOWN
37,2008,10,ADOPTION,FRIEND
23,2008,10,ADOPTION,PROMO
7,2008,10,ADOPTION,PRV ADOPT
1,2008,10,ADOPTION,RADIO OTHR
2,2008,10,ADOPTION,REFERRAL
3,2008,10,ADOPTION,TV METRO
3,2008,10,ADOPTION,TV OTHER
38,2008,10,ADOPTION,WALK IN
17,2008,10,ADOPTION,WEB METRO
17,2008,10,ADOPTION,WEB PF
1,2008,10,DIED,
1,2008,10,DIED,AT VET
1,2008,10,DIED,ENROUTE
10,2008,10,DIED,IN FOSTER
18,2008,10,DIED,IN KENNEL
4,2008,10,EUTH,
36,2008,10,EUTH,BEHAV HIST
207,2008,10,EUTH,BEHAV OBSV
57,2008,10,EUTH,BREED
121,2008,10,EUTH,CONTAG DIS
38,2008,10,EUTH,FERAL
126,2008,10,EUTH,MEDICAL
60,2008,10,EUTH,REQUESTED
227,2008,10,EUTH,TIME/SPACE
32,2008,10,EUTH,TOO OLD
125,2008,10,EUTH,TOO YOUNG
1,2008,10,MISSING,IN FOSTER
3,2008,10,MISSING,IN KENNEL
106,2008,10,RELEASED,
3,2008,10,RELEASED,IN SURGERY
1,2008,10,RELEASED,MEDICAL
126,2008,10,RTO,
8,2008,10,RTO,IN FIELD
1,2008,10,TRANSFER,
11,2008,10,TRANSFER,KHS
25,2008,10,TRANSFER,RES WAGGIN
74,2008,10,TRANSFER,RESCUE GRP
5,2008,11,ADOPTION,
3,2008,11,ADOPTION,3RD PARTY
4,2008,11,ADOPTION,AAA
1,2008,11,ADOPTION,BARKSTOWN
17,2008,11,ADOPTION,FRIEND
25,2008,11,ADOPTION,PROMO
10,2008,11,ADOPTION,PRV ADOPT
5,2008,11,ADOPTION,REFERRAL
1,2008,11,ADOPTION,TV WLKY
41,2008,11,ADOPTION,WALK IN
20,2008,11,ADOPTION,WEB METRO
30,2008,11,ADOPTION,WEB PF
1,2008,11,DIED,
2,2008,11,DIED,IN FOSTER
7,2008,11,DIED,IN KENNEL
17,2008,11,EUTH,BEHAV HIST
173,2008,11,EUTH,BEHAV OBSV
55,2008,11,EUTH,BREED
131,2008,11,EUTH,CONTAG DIS
56,2008,11,EUTH,FERAL
2,2008,11,EUTH,HEARTWORM
82,2008,11,EUTH,MEDICAL
50,2008,11,EUTH,REQUESTED
130,2008,11,EUTH,TIME/SPACE
26,2008,11,EUTH,TOO OLD
74,2008,11,EUTH,TOO YOUNG
2,2008,11,MISSING,
3,2008,11,MISSING,IN KENNEL
90,2008,11,RELEASED,
1,2008,11,RELOCATE,
124,2008,11,RTO,
8,2008,11,RTO,IN FIELD
5,2008,11,TRANSFER,
12,2008,11,TRANSFER,KHS
60,2008,11,TRANSFER,RESCUE GRP
3,2008,11,TRANSFER,WILDLIFE
3,2008,12,ADOPTION,
5,2008,12,ADOPTION,3RD PARTY
29,2008,12,ADOPTION,AAA
5,2008,12,ADOPTION,BARKSTOWN
15,2008,12,ADOPTION,FRIEND
20,2008,12,ADOPTION,PROMO
17,2008,12,ADOPTION,PRV ADOPT
2,2008,12,ADOPTION,REFERRAL
2,2008,12,ADOPTION,TV OTHER
1,2008,12,ADOPTION,TV WHAS
97,2008,12,ADOPTION,WALK IN
31,2008,12,ADOPTION,WEB METRO
36,2008,12,ADOPTION,WEB PF
1,2008,12,ADOPTION,WEB PH
1,2008,12,DIED,
1,2008,12,DIED,ENROUTE
4,2008,12,DIED,IN FOSTER
6,2008,12,DIED,IN KENNEL
1,2008,12,DISPOSAL,DEAD ARRIV
3,2008,12,EUTH,
20,2008,12,EUTH,BEHAV HIST
125,2008,12,EUTH,BEHAV OBSV
60,2008,12,EUTH,BREED
107,2008,12,EUTH,CONTAG DIS
10,2008,12,EUTH,FERAL
78,2008,12,EUTH,MEDICAL
41,2008,12,EUTH,REQUESTED
42,2008,12,EUTH,TIME/SPACE
25,2008,12,EUTH,TOO OLD
9,2008,12,EUTH,TOO YOUNG
1,2008,12,MISSING,IN FOSTER
2,2008,12,MISSING,IN KENNEL
107,2008,12,RELEASED,
1,2008,12,RELOCATE,
172,2008,12,RTO,
8,2008,12,RTO,IN FIELD
1,2008,12,TRANSFER,
16,2008,12,TRANSFER,KHS
41,2008,12,TRANSFER,RESCUE GRP
3,2009,1,ADOPTION,3RD PARTY
38,2009,1,ADOPTION,AAA
3,2009,1,ADOPTION,BARKSTOWN
29,2009,1,ADOPTION,FRIEND
9,2009,1,ADOPTION,PROMO
10,2009,1,ADOPTION,PRV ADOPT
1,2009,1,ADOPTION,RADIO OTHR
5,2009,1,ADOPTION,REFERRAL
1,2009,1,ADOPTION,TV OTHER
1,2009,1,ADOPTION,TV WLKY
75,2009,1,ADOPTION,WALK IN
14,2009,1,ADOPTION,WEB METRO
27,2009,1,ADOPTION,WEB PF
7,2009,1,DIED,
1,2009,1,DIED,AT VET
1,2009,1,DIED,ENROUTE
1,2009,1,DIED,IN FOSTER
4,2009,1,DIED,IN KENNEL
1,2009,1,DISPOSAL,DEAD ARRIV
1,2009,1,EUTH,
14,2009,1,EUTH,BEHAV HIST
135,2009,1,EUTH,BEHAV OBSV
69,2009,1,EUTH,BREED
91,2009,1,EUTH,CONTAG DIS
1,2009,1,EUTH,FELV
21,2009,1,EUTH,FERAL
76,2009,1,EUTH,MEDICAL
41,2009,1,EUTH,REQUESTED
11,2009,1,EUTH,TIME/SPACE
28,2009,1,EUTH,TOO OLD
3,2009,1,MISSING,IN FOSTER
91,2009,1,RELEASED,
1,2009,1,RELOCATE,
92,2009,1,RTO,
6,2009,1,RTO,IN FIELD
1,2009,1,TRANSFER,
30,2009,1,TRANSFER,KHS
28,2009,1,TRANSFER,RESCUE GRP
4,2009,2,ADOPTION,3RD PARTY
45,2009,2,ADOPTION,AAA
2,2009,2,ADOPTION,BARKSTOWN
16,2009,2,ADOPTION,FRIEND
6,2009,2,ADOPTION,NEWSLETTER
14,2009,2,ADOPTION,PROMO
7,2009,2,ADOPTION,PRV ADOPT
3,2009,2,ADOPTION,PS HURST
1,2009,2,ADOPTION,TV METRO
4,2009,2,ADOPTION,TV OTHER
4,2009,2,ADOPTION,TV WHAS
5,2009,2,ADOPTION,TV WLKY
48,2009,2,ADOPTION,WALK IN
33,2009,2,ADOPTION,WEB METRO
50,2009,2,ADOPTION,WEB PF
8,2009,2,DIED,
3,2009,2,DIED,ENROUTE
6,2009,2,DIED,IN FOSTER
10,2009,2,DIED,IN KENNEL
1,2009,2,DISPOSAL,DEAD ARRIV
7,2009,2,EUTH,
11,2009,2,EUTH,BEHAV HIST
61,2009,2,EUTH,BEHAV OBSV
38,2009,2,EUTH,BREED
30,2009,2,EUTH,CONTAG DIS
14,2009,2,EUTH,FERAL
53,2009,2,EUTH,MEDICAL
45,2009,2,EUTH,REQUESTED
2,2009,2,EUTH,TIME/SPACE
11,2009,2,EUTH,TOO OLD
2,2009,2,MISSING,IN KENNEL
116,2009,2,RELEASED,
145,2009,2,RTO,
10,2009,2,RTO,IN FIELD
5,2009,2,TRANSFER,
3,2009,2,TRANSFER,KHS
28,2009,2,TRANSFER,RESCUE GRP
2,2009,3,ADOPTION,
1,2009,3,ADOPTION,3RD PARTY
43,2009,3,ADOPTION,AAA
2,2009,3,ADOPTION,BARKSTOWN
1,2009,3,ADOPTION,EXCHANGE
38,2009,3,ADOPTION,FRIEND
2,2009,3,ADOPTION,NEWSLETTER
8,2009,3,ADOPTION,PROMO
2,2009,3,ADOPTION,PRV ADOPT
33,2009,3,ADOPTION,PS HURST
8,2009,3,ADOPTION,REFERRAL
7,2009,3,ADOPTION,TV OTHER
1,2009,3,ADOPTION,TV WLKY
65,2009,3,ADOPTION,WALK IN
19,2009,3,ADOPTION,WEB METRO
23,2009,3,ADOPTION,WEB PF
8,2009,3,DIED,
1,2009,3,DIED,ENROUTE
8,2009,3,DIED,IN FOSTER
14,2009,3,DIED,IN KENNEL
1,2009,3,DIED,IN SURGERY
2,2009,3,DISPOSAL,DEAD ARRIV
14,2009,3,EUTH,
12,2009,3,EUTH,BEHAV HIST
136,2009,3,EUTH,BEHAV OBSV
58,2009,3,EUTH,BREED
79,2009,3,EUTH,CONTAG DIS
29,2009,3,EUTH,FERAL
74,2009,3,EUTH,MEDICAL
9,2009,3,EUTH,PREGNANT
47,2009,3,EUTH,REQUESTED
2,2009,3,EUTH,TIME/SPACE
19,2009,3,EUTH,TOO OLD
9,2009,3,EUTH,TOO YOUNG
87,2009,3,RELEASED,
1,2009,3,RELOCATE,
160,2009,3,RTO,
8,2009,3,RTO,IN FIELD
2,2009,3,TRANSFER,
2,2009,3,TRANSFER,KHS
35,2009,3,TRANSFER,RESCUE GRP
1,2009,3,TRANSFER,WILDLIFE
4,2009,4,ADOPTION,3RD PARTY
44,2009,4,ADOPTION,AAA
1,2009,4,ADOPTION,BARKSTOWN
42,2009,4,ADOPTION,FRIEND
6,2009,4,ADOPTION,NEWSLETTER
3,2009,4,ADOPTION,PROMO
7,2009,4,ADOPTION,PRV ADOPT
23,2009,4,ADOPTION,PS HURST
4,2009,4,ADOPTION,REFERRAL
1,2009,4,ADOPTION,TV METRO
3,2009,4,ADOPTION,TV OTHER
1,2009,4,ADOPTION,TV WLKY
37,2009,4,ADOPTION,WALK IN
36,2009,4,ADOPTION,WEB METRO
23,2009,4,ADOPTION,WEB PF
2,2009,4,ADOPTION,WEB PH
6,2009,4,DIED,
2,2009,4,DIED,ENROUTE
2,2009,4,DIED,IN FOSTER
22,2009,4,DIED,IN KENNEL
1,2009,4,DISPOSAL,DEAD ARRIV
36,2009,4,EUTH,
9,2009,4,EUTH,BEHAV HIST
154,2009,4,EUTH,BEHAV OBSV
49,2009,4,EUTH,BREED
82,2009,4,EUTH,CONTAG DIS
19,2009,4,EUTH,FERAL
67,2009,4,EUTH,MEDICAL
6,2009,4,EUTH,PREGNANT
51,2009,4,EUTH,REQUESTED
2,2009,4,EUTH,TIME/SPACE
9,2009,4,EUTH,TOO OLD
29,2009,4,EUTH,TOO YOUNG
1,2009,4,MISSING,IN KENNEL
2,2009,4,MISSING,STOLEN
86,2009,4,RELEASED,
3,2009,4,RELEASED,IN SURGERY
132,2009,4,RTO,
4,2009,4,RTO,IN FIELD
1,2009,4,TRANSFER,
4,2009,4,TRANSFER,KHS
18,2009,4,TRANSFER,RESCUE GRP
8,2009,5,ADOPTION,
8,2009,5,ADOPTION,3RD PARTY
